customer_id,company_name,industry,plan_tier,arr_usd,signed_date,renewal_date,owner_csm,health_score,primary_use_case
CUS-1042,百川医疗,Healthcare,Enterprise,180000,2024-03-15,2026-03-15,Mia,82,Clinical document search
CUS-1086,星河汽车,Automotive,Enterprise,240000,2024-08-22,2026-08-22,Mia,88,Engineering knowledge base
CUS-1109,通源能源,Energy,Pro,72000,2024-11-08,2026-11-08,Mia,76,Compliance document Q&A
CUS-1133,蓝海保险,Insurance,Enterprise,300000,2025-01-10,2027-01-10,Leo,91,Claims processing assistant
CUS-1158,博远咨询,Consulting,Pro,48000,2025-02-20,2026-02-20,Mia,68,Internal report search
CUS-1174,翰林教育,Education,Pro,36000,2025-04-05,2026-04-05,Mia,73,Teacher resource hub
CUS-1198,云川物流,Logistics,Enterprise,210000,2025-05-18,2027-05-18,Leo,85,Operations runbook AI
CUS-1217,东方制药,Pharmaceutical,Enterprise,360000,2025-07-02,2027-07-02,Leo,93,Drug research assistant
CUS-1245,星辰半导体,Semiconductor,Enterprise,420000,2025-09-14,2027-09-14,Leo,89,Chip design knowledge
CUS-1269,鼎元金融,FinTech,Enterprise,540000,2025-10-30,2027-10-30,Leo,94,Risk policy search
CUS-1283,德邦法律,Legal,Pro,84000,2025-11-20,2026-11-20,Mia,71,Case law retrieval
CUS-1297,华芯电子,Electronics,Pro,96000,2025-12-08,2026-12-08,Mia,80,Product spec search
CUS-1312,启明研究院,Research,Pro,60000,2026-01-15,2027-01-15,Mia,65,Paper indexing
CUS-1334,远洋地产,Real Estate,Pro,108000,2026-02-22,2027-02-22,Mia,77,Property doc search
CUS-1356,大江物业,Property Mgmt,Starter,18000,2026-03-10,2027-03-10,Nick,58,Tenant FAQ
CUS-1378,云海餐饮,Hospitality,Starter,15000,2026-04-02,2027-04-02,Nick,52,Operations manual
CUS-1395,绿源农业,Agriculture,Starter,12000,2026-04-25,2027-04-25,Nick,49,Field report archive
CUS-1411,金城建筑,Construction,Pro,72000,2026-05-08,2027-05-08,Mia,61,Spec compliance Q&A
