incident_id,reported_at,severity,affected_service,duration_min,impact_summary,responder_names,root_cause_category,resolution_minutes,quarter
INC-2026-Q2-01,2026-04-02 14:22,P3,AI Copilot,18,Tooltip rendering glitch on Safari,林涛,UI,18,2026-Q2
INC-2026-Q2-02,2026-04-10 09:00,P2,Search Platform,30,Stale cache for tenant CUS-1086 (星河汽车),Dana,Cache,30,2026-Q2
INC-2026-Q2-03,2026-04-15 16:45,P3,Data Platform,22,Airflow log noise above threshold,Frank,Logging,22,2026-Q2
INC-2026-Q2-04,2026-04-21 02:13,P1,Search Platform,95,Index writer OOM during multi-tenant migration test,Ann Bob 陈诚,Memory,95,2026-Q2
INC-2026-Q2-05,2026-04-28 15:30,P2,Infrastructure,25,Prometheus disk full,周鹏,Capacity,25,2026-Q2
INC-2026-Q2-06,2026-05-01 11:08,P2,AI Copilot,42,Token rate limit miscount affecting CUS-1269 (鼎元金融),林涛,RateLimit,42,2026-Q2
INC-2026-Q2-07,2026-05-04 22:55,P3,Data Platform,28,BigQuery slot saturation overnight,赵静 Grace,Capacity,28,2026-Q2
INC-2026-Q2-08,2026-05-09 13:18,P1,Search Platform,72,Hybrid retriever returning empty for tenant CUS-1217 (东方制药),Ann Dana,Retrieval,72,2026-Q2
INC-2026-Q2-09,2026-05-12 10:00,P2,AI Copilot,55,Function calling timeout chain on Vault lookups,林涛 孙伟,Timeout,55,2026-Q2
INC-2026-Q2-10,2026-05-15 18:40,P3,Infrastructure,15,Grafana dashboard config drift,周鹏 Wendy,Config,15,2026-Q2
INC-2026-Q2-11,2026-05-19 04:22,P2,Data Platform,68,Flink checkpoint storage filling up,Frank Henry,Capacity,68,2026-Q2
INC-2026-Q2-12,2026-05-22 16:05,P3,AI Copilot,20,Streaming SSE disconnect after 30s idle,林涛,Network,20,2026-Q2
INC-2026-Q2-13,2026-05-26 09:45,P1,AI Copilot,110,Memory recall returning wrong namespace's results to CUS-1133 (蓝海保险),林涛 孙伟 Queenie,DataLeak,110,2026-Q2
INC-2026-Q2-14,2026-05-30 14:30,P2,Search Platform,40,Reindex job stuck due to GPU contention,Ann Bob,GPU,40,2026-Q2
